Entered_By,QAQC_By,Region,Site,Plot_ID,Target_Species,No_Target_Whelks_In_Plot,No_Whelks_Added,Added_Whelk_IDs,Deploy_Date,Survey_Date,Days_Deployed,Weeks_Deployed,Survey_By,Recorded_By,Bare_Space,Whelk_Eggs,Acorn_Barnacle_Cover,Dead_Acorn_Barnacle_Cover,Gooseneck_Barnacle_Cover,Gooseneck_Barnacle_Count,Dead_Gooseneck_Barnacle_Cover,Dead_Gooseneck_Barnacle_Count,Drilled_Gooseneck_Barnacle_Count,Thatched_Barnacle_Semibalanus_spp,Volcano_Barnacle_T._rubescens,California_Mussel_M._californianus_Cover,California_Mussel_M._californianus_Count,Dead_M._californianus_Cover,Dead_M._californianus_Count,Drilled_M._californianus_Count,Adam's_Mussel_Brachidontes,Mediterranean_Mussel_M._galloprovincialis_Cover,Mediterranean_Mussel_M._galloprovincialis_Count,Dead_M._galloprovincialis_Cover,Dead_M._galloprovincialis_Count,Drilled_M._galloprovincialis_Count,"Bay_Mussel_
M._trossulus",Oyster,Tubeworm,Aggregating_Anemone_A._elegantissima,Sunburst_Anemone_A._sola,Brooding_Anemone_E._prolifera,Sandcastle_Worms_P._californica,Encrusting_bryozoan,Coralline_algae_Articulated,Coralline_algae_Encrusting,Wine_Crust_Hildenbrandia,Fleshy_Crust_Petrocelis,Brown_Crust_Ralfsia,Hornweed_Ceramium,Lawn_Algae_Chondracanthus,Sea_Potato_Colpomenia,Turfweed_Endocladia,Gelidium,Laurencia,Leathesia,Turkish_Washcloth_Mastocarpus,Mazzaella_leptorhyncos,Mazzaella_splendens,Petalonia,Porphyra,Sea_lettuce_Ulva_spp.,Surfgrass_Phyllospadix,Biofilm,Egregia menziesii,Colpomenia,Angled_Unicorn_Whelk_A._spirata_Cover,Angled_Unicorn_Whelk_A._spirata_Count,Dark_Unicorn_Whelk_M._lugubris_Cover,Dark_Unicorn_Whelk_M._lugubris_Count,Channeled_Whelk_N._canaliculata,Emarginate_Whelk_N._emarg_ost,Poulsons_Dwarf_Triton_R._poulsoni,Spotted_Thorn_Drupe_A._punctualta,Graceful_Rocksnail_O._gracillima,Lurid_Rocksnail_O._lurida,Fringed_Dogwhelk_N._lamellosa,Olive_Snail_Olivella,Periwinkle_Snails_Littorina_spp.,Turban_Snails_Tegula_sp.,Chitons,Limpets_Small_Lottia_spp.,Owl_Limpet_L._gigantea,Hermit_Crab_Pagurus_spp,Lined_Shore_Crab_Pachygrapsus,Purple_Crab_Hemigrapsus,Brittle_Star_Ophiuroid,Ochre_Star_Pisaster,Errant_Polychaete,Notes
RB,SS,SoCal,Scripps,12 Whelk,M,12,12,"213, 210, 208, 211, 318, 314, 316, 317, 326, 328, 327, 329",5/29/2023,5/29/2023,0,0,RB,CT,50,0,7,13,15,43,0,0,0,0,0,15,37,0,0,0,0,10,36,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,12,0,0,0,0,0,0,0,0,3,0,1,0.5,0,0,0,0,0,0,0,
RB,SS,SoCal,Scripps,3 Whelk,M,3,3,"323, 212, 321",5/29/2023,5/29/2023,0,0,RB,CT,25,0,9,11,0.5,1,0,0,0,0,0,12,28,0,0,0,0,5,12,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,
RB,SS,SoCal,Scripps,1 Whelk,M,1,1,322,5/29/2023,5/29/2023,0,0,RB,CT,40,0,25,15,0,0,0,0,0,0,0,0,0,0,0,0,1,4,13,0,0,0,0,0,0,4,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,9,0,1,4,0,0,0,0,0,0,0,
RB,SS,SoCal,Scripps,No Cage,M,0,0,NA,5/29/2023,5/29/2023,0,0,RB,CT,50,0,6,4,0.5,1,0,0,0,0,0,4,5,0,0,0,0.1,12,28,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,0,0,0,0,0,0,0,
RB,SS,SoCal,Dana Point,12 Whelk,M,9,3,332,5/24/2023,6/8/2023,15,2,RB,RB,5,0,25,20,0,0,0,0,0,0,0,38,256,1,2,1,0.5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,0,2,0,6,0.5,0,0.5,2,0,0,0,0,"Added 1 new whelk (332), 2 original found nearby and recaged (202, 203)"
RB,SS,SoCal,Dana Point,No Cage,M,0,0,NA,5/24/2023,6/8/2023,15,2,RB,RB,40,0,25,15,2,2,0,0,0,0,0,15,43,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0.6,0,0,0.3,0,0,0,0,
RB,SS,SoCal,Dana Point,Partial,M,0,0,NA,5/24/2023,6/8/2023,15,2,RB,RB,15,0,15,5,5,5,0,0,0,0,0,48,243,2,2,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0.1,0,1,0.5,0,0.3,2,0,0,0,0,
RB,SS,SoCal,Dana Point,0 Whelk,M,0,0,NA,5/24/2023,6/8/2023,15,2,RB,RB,20,0,35,10,5,6,0,0,0,0,0,30,229,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.5,3,1,0,0,2,0,0,0,0,
RB,SS,SoCal,Dana Point,1 Whelk,M,0,1,331,5/24/2023,6/8/2023,15,2,RB,RB,20,0,30,10,0,0,0,0,0,0,0,35,246,0,0,0,0.7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,4,1,0,0,0.8,0,0,0,0,Added 1 whelk (331)
RB,SS,SoCal,Dana Point,3 Whelk,M,2,1,333,5/24/2023,6/8/2023,15,2,RB,RB,15,0,14,6,0,0,0,0,0,0,0,45,346,1,1,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,3,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,0,5,0.4,0,0.4,2,0,0,0,0,Added 1 whelk (333)
RB,SS,SoCal,Dana Point,6 Whelk,M,6,0,NA,5/24/2023,6/8/2023,15,2,RB,RB,10,0,17,3,7,9,0,0,0,0,0,80,474,3,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0.2,4,0.8,0,0,3,0,0,0,0,
RB,SS,SoCal,Scripps,12 Whelk,M,11,1,335,5/29/2023,6/9/2023,11,2,RB,JR,45,0,6,14,15,45,0,0,0,0,0,12,32,0.5,1,1,0,11,33,2,2,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,0,3,0,1,2,2,0,0.5,0,0,0,0,Added 1 whelk (335)
RB,SS,SoCal,Scripps,Partial,M,0,0,NA,5/29/2023,6/9/2023,11,2,RB,JR,45,0,15,10,0.5,1,0,0,0,0,0,15,61,0,0,0,0.2,3,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0.2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.8,0,4,2,0,0.5,0,0,0,0,
RB,SS,SoCal,Scripps,No Cage,M,1,0,NA,5/29/2023,6/9/2023,11,2,RB,JR,45,0,7,5,0.5,2,0,0,0,0,0,6,8,0,0,0,0,12,26,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,
RB,SS,SoCal,Scripps,1 Whelk,M,1,0,NA,5/29/2023,6/9/2023,11,2,RB,JR,45,0,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,0,0,0,0,0,0,5,0,0,0,0,0,0.9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,9,0,1,6,0,0,0.5,0,0,0,0,
RB,SS,SoCal,Scripps,6 Whelk,M,6,0,NA,5/29/2023,6/9/2023,11,2,RB,JR,50,0,12,3,0.5,2,0.8,1,1,0,0,14,25,0.5,1,1,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,3,0,1,2,0,0,1,0,0,0,0,
RB,SS,SoCal,Scripps,3 Whelk,M,3,0,NA,5/29/2023,6/9/2023,11,2,RB,JR,25,0,8,7,0.5,1,0,0,0,0,0,8,14,0,0,0,0.5,8,16,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,0.5,0,2,0,0,0,0,0,0,0,
RB,SS,SoCal,Scripps,0 Whelk,M,0,0,NA,5/29/2023,6/9/2023,11,2,RB,JR,35,0,20,15,3,7,0,0,0,0,0,9,9,0,0,0,0.1,9,20,0,0,0,0,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,2,0,0,0.5,0,0,0,0,
JL,DD,Baja,Campo Kennedy,0 Whelk,M,0,0,NA,5/12/2023,5/30/2023,18,2,JL,JL,11,0,45,5,0.1,1,0,0,0,0,15,18,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.5,0.1,0,0,0.5,0,0,0,0,
JL,DD,Baja,Campo Kennedy,1 Whelk,M,1,0,NA,5/12/2023,5/30/2023,18,2,JL,JL,12,0,43,5,0.1,1,0,0,0,0,7,25,195,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0.1,0,0.5,0,0,0,0,
JL,DD,Baja,Campo Kennedy,12 Whelk,M,9,3,"107,108,109",5/12/2023,5/30/2023,18,2,JL,JL,22,0,38,7,0.1,1,0,0,0,0,5,10,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0,0.5,0,0,0,0,
JL,DD,Baja,Campo Kennedy,24 Whelk,M,22,2,"111,113",5/12/2023,5/30/2023,18,2,JL,JL,4,0,13,30,0.5,4,0,0,0,0,15,8,52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,22,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0,0.1,0,0,0,0,
JL,DD,Baja,Campo Kennedy,6 Whelk,M,6,0,NA,5/12/2023,5/30/2023,18,2,DD,DD,50,0,10,25,5,8,0,0,0,0,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,
JL,DD,Baja,Campo Kennedy,3 Whelk,M,3,0,NA,5/12/2023,5/30/2023,18,2,JL,JL,38,0,20,30,0,0,0,0,0,0,2,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0.1,0,0,0,0,
JL,DD,Baja,Campo Kennedy,No Cage,M,0,NA,NA,5/12/2023,5/30/2023,18,2,JL,JL,47,0,7,8,4,8,0,0,0,0,10,15,52,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,5,0,0,0.1,0,0,0,0,
JL,DD,Baja,Campo Kennedy,Partial,M,1,NA,NA,5/12/2023,5/30/2023,18,2,JL,JL,22,0,55,6,2,6,0,0,0,0,6,8,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0,0.1,0,0,0,0,
RB,SS,Baja,Campo Kennedy,3 Whelk,M,3,3,NA,5/12/2023,5/12/2023,0,0,RB,RB,50,0,18,30,1,1,0,0,0,0,2,5,13,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,
RB,SS,Baja,Campo Kennedy,6 Whelk,M,6,6,NA,5/12/2023,5/12/2023,0,0,RB,RB,40,0,25,10,5,8,0,0,0,0,5,8,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.8,0,0,0,0,0,0,0,
RB,SS,Baja,Campo Kennedy,24 Whelk,M,24,24,NA,5/12/2023,5/12/2023,0,0,RB,RB,30,0,30,10,2,4,0,0,0,0,19,10,31,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,
RB,SS,Baja,Campo Kennedy,12 Whelk,M,12,12,NA,5/12/2023,5/12/2023,0,0,RB,RB,20,0,30,15,0,0,0,0,0,0,7,19,48,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,5,0,0,0.5,0,0,0,0,
RB,SS,Baja,Campo Kennedy,Partial,M,0,0,NA,5/12/2023,5/12/2023,0,0,RB,RB,20,0,45,15,3,6,0,0,0,0,6,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0.5,0,0,0,0,0,0,0,
RB,SS,Baja,Campo Kennedy,0 Whelk,M,0,0,NA,5/12/2023,5/12/2023,0,0,RB,RB,30,0,35,5,0,0,0,0,0,0,15,16,41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,5,0,0,0,0,0,0,0,
RB,SS,Baja,Campo Kennedy,1 Whelk,M,1,1,NA,5/12/2023,5/12/2023,0,0,RB,RB,30,0,20,15,0,0,0,0,0,0,7,20,127,0,0,0,2,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,
RB,SS,Baja,Campo Kennedy,No Cage,M,1,0,NA,5/12/2023,5/12/2023,0,0,RB,RB,60,0,8,14,5,8,0,0,0,0,5,18,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,
RB,SS,Baja,Punta Morro,3 Whelk,M,3,3,NA,5/13/2023,5/13/2023,0,0,RB,RB,45,0,30,5,7,36,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,2,0,0,0,0,0,0,0,
RB,SS,Baja,Punta Morro,No Cage,M,7,0,NA,5/13/2023,5/13/2023,0,0,RB,RB,40,0,20,10,14,47,0,0,0,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,4,0,7,5,4,0,0,0,0,0,0,
RB,SS,Baja,Punta Morro,0 Whelk,M,0,0,NA,5/13/2023,5/13/2023,0,0,RB,RB,15,0,50,15,20,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,3,0,0,0,0,0,0,0,
RB,SS,Baja,Punta Morro,12 Whelk,M,12,12,NA,5/13/2023,5/13/2023,0,0,RB,RB,20,0,35,30,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,
RB,SS,Baja,Punta Morro,24 Whelk,M,24,24,NA,5/13/2023,5/13/2023,0,0,RB,RB,20,0,50,10,2,6,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5,0.5,0,0,0,0,0,0,
RB,SS,Baja,Punta Morro,6 Whelk,M,6,6,NA,5/13/2023,5/13/2023,0,0,RB,RB,50,0,15,15,6,16,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,2,0,0,0,0,0,0,
RB,SS,Baja,Punta Morro,1 Whelk,M,1,1,NA,5/13/2023,5/13/2023,0,0,RB,RB,60,0,20,2,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0.5,3,0,0,0,0,0,0,
RB,SS,Baja,Punta Morro,Partial,M,3,0,NA,5/13/2023,5/13/2023,0,0,RB,RB,40,0,35,5,7,27,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,3,0,5,2,0,0,0,0,0,0,0,
