Entered_By,QAQC_By,Region,Site,Survey_Date,Vert_Transect_Dist_m,Quad_Dist_m,Species,Total_Length,Timed_Count_Conducted,In_Timed_Count,Remote_ID,Whelk_TH_m,Notes
RB,AA,SoCal,Victoria Beach,4/19/2022,10,3.3,As,21,N,N,NA,0.68,Mussel bed - no TC for Victoria during Spr2022 survey due to rough waves
RB,AA,SoCal,Victoria Beach,4/19/2022,10,3.3,As,10,N,N,NA,0.68,Mussel bed - no TC for Victoria during Spr2022 survey due to rough waves
RB,AA,SoCal,Victoria Beach,4/19/2022,10,2.4,M,21.1,N,N,NA,0.93,Mussel bed - no TC for Victoria during Spr2022 survey due to rough waves
RB,AA,SoCal,Victoria Beach,4/19/2022,10,2.4,As,15.4,N,N,NA,0.93,Mussel bed - no TC for Victoria during Spr2022 survey due to rough waves
RB,AA,SoCal,Victoria Beach,4/19/2022,10,1.84,M,13.3,N,N,NA,1.18,Mussel bed - no TC for Victoria during Spr2022 survey due to rough waves
RB,AA,SoCal,Victoria Beach,4/19/2022,10,0,M,NA,N,N,NA,1.43,Whelk not measured 
RB,AA,SoCal,Swami's,4/15/2022,1,9.88,M,29.2,Y,N,NA,1.06,
RB,AA,SoCal,Shaw's Cove,4/20/2022,8,8.15,As,16.5,Y,N,NA,0.83,
RB,AA,SoCal,Shaw's Cove,4/20/2022,15,7.51,As,20.6,Y,N,NA,0.51,
RB,AA,SoCal,Shaw's Cove,4/20/2022,15,7.31,As,17.7,Y,Y,NA,0.64,
RB,AA,SoCal,Shaw's Cove,4/20/2022,15,8,As,21.9,Y,N,NA,0.39,
RB,AA,SoCal,Shaw's Cove,4/20/2022,15,8,As,18.7,Y,N,NA,0.39,
RB,AA,SoCal,Shaw's Cove,4/20/2022,15,8.08,As,19.2,Y,N,NA,0.39,
RB,AA,SoCal,Shaw's Cove,4/20/2022,15,8.08,As,22,Y,N,NA,0.39,
RB,AA,SoCal,Shaw's Cove,4/20/2022,15,8.08,As,16.9,Y,Y,NA,0.39,
RB,AA,SoCal,Shaw's Cove,4/20/2022,13,4.64,Ne,24.6,Y,N,NA,1.11,
RB,AA,SoCal,Crystal Cove,4/21/2022,1,1.9,As,15.1,Y,N,NA,0.9,
RB,AA,SoCal,Crystal Cove,4/21/2022,1,1.18,As,13.6,Y,N,NA,1.15,
RB,AA,SoCal,Cabrillo,4/24/2022,23,0.53,M,22.5,N,N,NA,0.53,
RB,AA,SoCal,Cabrillo,4/24/2022,23,1.19,M,29.6,N,N,NA,0.28,
RB,AA,SoCal,Cabrillo,4/24/2022,23,1.19,M,28.7,N,N,NA,0.28,
RB,AA,SoCal,Cabrillo,4/24/2022,1,1.11,M,13.1,N,N,NA,0.68,
RB,AA,SoCal,Cabrillo,4/24/2022,1,1.11,M,22,N,N,NA,0.68,
RB,AA,SoCal,Cabrillo,4/24/2022,1,7.03,M,27,N,N,NA,-0.07,
RB,AA,SoCal,Cabrillo,4/24/2022,1,7.03,M,24.4,N,N,NA,-0.07,
RB,AA,SoCal,Cabrillo,4/24/2022,2,4.95,M,24.6,N,N,NA,0.25,
RB,AA,SoCal,Cabrillo,4/24/2022,2,4.95,M,27.1,N,N,NA,0.25,
RB,AA,SoCal,Cabrillo,4/24/2022,5,0.99,M,29.5,N,N,NA,0.82,
RB,AA,SoCal,Goff Island,4/26/2022,7,10.4,M,12.9,Y,N,NA,1.29,
RB,AA,SoCal,Goff Island,4/26/2022,4,12.73,M,24.5,Y,N,NA,0.6,
RB,AA,SoCal,Goff Island,4/26/2022,9,9.55,M,15.9,Y,N,NA,1.28,
RB,AA,SoCal,Goff Island,4/26/2022,6,1.09,M,30.1,Y,N,NA,1.09,
RB,AA,SoCal,Goff Island,4/26/2022,6,1.09,M,27.3,Y,N,NA,1.09,
RB,AA,SoCal,Goff Island,4/26/2022,6,1.09,M,27.2,Y,N,NA,1.09,
RB,AA,SoCal,Goff Island,4/26/2022,6,0,M,27.6,Y,N,NA,1.59,
RB,AA,SoCal,Goff Island,4/26/2022,6,0,M,29.9,Y,N,NA,1.59,
RB,AA,SoCal,Goff Island,4/26/2022,6,0,M,12.8,Y,N,NA,1.59,
RB,AA,SoCal,Scripps,4/27/2022,2,6.05,As,17.3,Y,N,NA,0.25,
RB,AA,SoCal,Scripps,4/27/2022,2,6.05,As,15.2,Y,N,NA,0.25,
RB,AA,SoCal,Scripps,4/27/2022,11,19.32,As,17.9,Y,N,NA,0.39,
RB,AA,SoCal,Scripps,4/27/2022,11,19.32,As,18,Y,N,NA,0.39,
RB,AA,SoCal,Scripps,4/27/2022,2,0.79,M,19.3,Y,N,NA,1.75,
RB,AA,SoCal,Scripps,4/27/2022,2,0.79,M,18.6,Y,N,NA,1.75,
RB,AA,SoCal,Scripps,4/27/2022,2,0.79,M,14.9,Y,N,NA,1.75,
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,25.5,Y,Y,NA,0.82,"TH is average TH of surrounding quads; Timed count limited by how fast we could measure, same as San Miguel"
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,22.3,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,27.7,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,25,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,24.4,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,22.3,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,25.6,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,22,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,26.1,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,22.9,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,25.9,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,24.8,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,9.2,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,26.5,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,32.4,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,24.8,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,26.4,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,26,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,24,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,25.6,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,22.1,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,23.6,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,18.1,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,26.8,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,22.3,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,20.8,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,22.5,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,24.8,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,23.8,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,27.5,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,24.3,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,25.2,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,22.9,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,20.9,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,17,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,23.4,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,25.8,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,24.5,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,22.5,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,26,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,17.6,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,27.8,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,25.1,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,15.7,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,27.3,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,25.3,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,21.6,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,29.1,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,30.2,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,28,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,29.7,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,19.3,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,21.6,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,27.7,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,4,M,22,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,5.9,M,24,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,5.9,M,25.1,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,5.9,M,26.1,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,5.9,M,23.2,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,5.9,M,27.3,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,5.9,M,34.8,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,5.9,M,27.5,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,5.9,M,23.6,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,5.9,M,17.6,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,5.9,M,25.9,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,5.9,M,14.1,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,5.9,M,23.1,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,5.9,M,26.1,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,5.9,M,24,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,5.9,M,26.2,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,5.9,M,26,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,5.9,M,25.1,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,5.9,M,25.8,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,5.9,M,24,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,5.9,M,23.3,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,5.9,M,26.4,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,5.9,M,26.7,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,5.9,M,24.8,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,5.9,M,22.9,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,5.9,M,26.7,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,5.9,M,22.8,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,5.9,M,26.2,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,5.9,M,22.7,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,5.9,M,20.6,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,5.9,M,26.3,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,5.9,M,31,Y,Y,NA,0.82,TH is from average TH of surrounding quads
AA,RB,Baja,Saldamando,5/20/2022,18,5.9,M,26.9,Y,Y,NA,0.82,TH is from average TH of surrounding quads
RB,AA,SoCal,Scripps,4/27/2022,10,4.22,Ne,16.4,Y,N,NA,0.55,
AA,RB,Baja,San Miguel,5/19/2022,17,0.45,M,19.8,Y,N,NA,1.03,
AA,RB,Baja,San Miguel,5/19/2022,17,0.45,M,NA,Y,N,NA,1.03,One whelk in this quadrat was not measured 
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,25.6,Y,N,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,25.1,Y,N,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,24.4,Y,N,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,23.4,Y,N,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,21,2.8,M,24.4,Y,N,NA,1.51,
AA,RB,Baja,San Miguel,5/19/2022,21,2.8,M,22.6,Y,N,NA,1.51,
AA,RB,Baja,San Miguel,5/19/2022,21,2.8,M,26.1,Y,N,NA,1.51,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,19.6,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,15.4,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,23.7,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,18.8,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,27.5,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,21.1,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,21.1,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,19.3,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,24.8,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,23.4,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,20.9,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,28,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,23.8,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,23.1,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,25,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,20.1,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,24.9,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,24.8,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,23.2,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,22.5,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,22.1,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,20.3,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,22.6,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,25.4,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,22.5,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,24.4,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,22.3,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,24.7,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,23.8,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,24.2,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,25.7,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,20.3,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,20,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,19.3,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,19.8,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,14.1,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,22,0,M,16.3,Y,Y,NA,1.16,
AA,RB,Baja,San Miguel,5/19/2022,NA,NA,M,27.9,Y,Y,R1,0.7,closest to T21Q0.0
AA,RB,Baja,San Miguel,5/19/2022,NA,NA,M,16.2,Y,Y,R2,0.7,
AA,RB,Baja,San Miguel,5/19/2022,NA,NA,M,25,Y,Y,R3,0.7,
AA,RB,Baja,San Miguel,5/19/2022,NA,NA,M,26.5,Y,Y,R4,0.7,
AA,RB,Baja,San Miguel,5/19/2022,NA,NA,M,24.2,Y,Y,R5,0.7,
AA,RB,Baja,San Miguel,5/19/2022,NA,NA,M,31.4,Y,Y,R6,0.7,
AA,RB,Baja,San Miguel,5/19/2022,NA,NA,M,27.7,Y,Y,R7,0.7,
AA,RB,Baja,San Miguel,5/19/2022,NA,NA,M,22.6,Y,Y,R8,0.7,
AA,RB,Baja,San Miguel,5/19/2022,NA,NA,M,22.8,Y,Y,R9,0.7,
AA,RB,Baja,San Miguel,5/19/2022,NA,NA,M,26.7,Y,Y,R10,0.7,
AA,RB,Baja,San Miguel,5/19/2022,NA,NA,M,23.6,Y,Y,R11,0.7,
AA,RB,Baja,San Miguel,5/19/2022,NA,NA,M,26.8,Y,Y,R12,0.7,
AA,RB,Baja,San Miguel,5/19/2022,NA,NA,M,28.2,Y,Y,R13,0.7,
AA,RB,Baja,San Miguel,5/19/2022,NA,NA,M,19.7,Y,Y,R14,0.7,
AA,RB,Baja,San Miguel,5/19/2022,NA,NA,M,24.9,Y,Y,R15,0.7,
AA,RB,Baja,San Miguel,5/19/2022,NA,NA,M,15.5,Y,Y,R16,0.7,
AA,RB,Baja,San Miguel,5/19/2022,NA,NA,M,25.4,Y,Y,R17,0.7,
AA,RB,Baja,San Miguel,5/19/2022,NA,NA,M,12.7,Y,Y,R18,0.7,
AA,RB,Baja,San Miguel,5/19/2022,NA,NA,M,13.4,Y,Y,R19,0.7,
AA,RB,Baja,San Miguel,5/19/2022,NA,NA,M,23.1,Y,Y,R20,0.7,
AA,RB,Baja,San Miguel,5/19/2022,NA,NA,M,26.5,Y,Y,R21,0.7,
AA,RB,Baja,San Miguel,5/19/2022,21,2.8,M,19.7,Y,N,NA,1.51,
AA,RB,Baja,San Miguel,5/19/2022,16,1.22,M,21.9,Y,N,NA,0.8,
AA,RB,Baja,San Miguel,5/19/2022,16,1.22,M,19.5,Y,N,NA,0.8,
AA,RB,Baja,San Miguel,5/19/2022,16,1.22,M,15,Y,N,NA,0.8,
AA,RB,Baja,San Miguel,5/19/2022,16,0.73,M,26.3,Y,N,NA,1.05,
AA,RB,Baja,San Miguel,5/19/2022,16,0.73,M,19.9,Y,N,NA,1.05,
AA,RB,Baja,San Miguel,5/19/2022,16,0.73,M,22.1,Y,N,NA,1.05,
AA,RB,Baja,San Miguel,5/19/2022,16,0.73,M,20.1,Y,N,NA,1.05,
AA,RB,Baja,San Miguel,5/19/2022,16,0.73,M,16.5,Y,N,NA,1.05,
AA,RB,Baja,San Miguel,5/19/2022,16,0.73,M,14.9,Y,N,NA,1.05,
AA,RB,Baja,San Miguel,5/19/2022,16,0.73,M,21.6,Y,N,NA,1.05,
AA,RB,Baja,San Miguel,5/19/2022,16,0.73,M,15.1,Y,N,NA,1.05,
AA,RB,Baja,Saldamando,5/20/2022,22,10.7,As,8.7,Y,N,NA,0.47,
AA,RB,Baja,Saldamando,5/20/2022,16,12.6,As,15.2,Y,N,NA,0.95,
AA,RB,Baja,Saldamando,5/20/2022,16,12.6,As,13.1,Y,N,NA,0.95,
AA,RB,Baja,Saldamando,5/20/2022,16,3.8,M,25.8,Y,N,NA,1.2,
AA,RB,Baja,Saldamando,5/20/2022,16,3.8,M,27.6,Y,N,NA,1.2,
AA,RB,Baja,Saldamando,5/20/2022,16,3.8,M,17.7,Y,N,NA,1.2,
AA,RB,Baja,Saldamando,5/20/2022,13,12.48,M,26.6,Y,N,NA,0.53,
AA,RB,Baja,Saldamando,5/20/2022,13,12.48,As,14.5,Y,N,NA,0.53,
AA,RB,Baja,Saldamando,5/20/2022,13,12.48,As,12.4,Y,N,NA,0.53,
AA,RB,Baja,Saldamando,5/20/2022,13,12.48,As,11.4,Y,N,NA,0.53,
AA,RB,Baja,Saldamando,5/20/2022,18,12.09,As,12.5,Y,N,NA,0.7,
AA,RB,Baja,Saldamando,5/20/2022,18,12.09,As,14.9,Y,N,NA,0.7,
AA,RB,Baja,Saldamando,5/20/2022,18,12.09,As,12.2,Y,N,NA,0.7,
AA,RB,Baja,Saldamando,5/20/2022,18,12.09,As,11.1,Y,N,NA,0.7,
AA,RB,Baja,Saldamando,5/20/2022,18,12.09,As,7,Y,N,NA,0.7,
AA,RB,Baja,Saldamando,5/20/2022,18,12.09,As,11.2,Y,N,NA,0.7,
AA,RB,Baja,Saldamando,5/20/2022,18,12.09,As,8.6,Y,N,NA,0.7,
AA,RB,Baja,Saldamando,5/20/2022,18,12.09,As,12.7,Y,N,NA,0.7,
AA,RB,Baja,Saldamando,5/20/2022,18,12.09,As,11.4,Y,N,NA,0.7,
AA,RB,Baja,Saldamando,5/20/2022,18,12.09,As,12.3,Y,N,NA,0.7,
AA,RB,Baja,Saldamando,5/20/2022,18,12.09,As,9.9,Y,N,NA,0.7,
AA,RB,Baja,Saldamando,5/20/2022,18,12.09,As,12.4,Y,N,NA,0.7,
AA,RB,Baja,Saldamando,5/20/2022,18,12.09,As,11,Y,N,NA,0.7,
AA,RB,Baja,Saldamando,5/20/2022,18,12.09,As,12.2,Y,N,NA,0.7,
